,rank,country_full,total_points,cur_year_avg,cur_year_avg_weighted,rank_date
53784,1,Argentina,1634.02,903.24,903.24,2016-12-22
53785,2,Brazil,1544.05,879.22,879.22,2016-12-22
53786,3,Germany,1432.54,752.68,752.68,2016-12-22
53787,4,Chile,1403.96,739.73,739.73,2016-12-22
53788,5,Belgium,1367.77,600.01,600.01,2016-12-22
53789,6,Colombia,1344.7,746.52,746.52,2016-12-22
53790,7,France,1305.41,862.9,862.9,2016-12-22
53791,8,Portugal,1229.12,617.85,617.85,2016-12-22
53792,9,Uruguay,1187.31,620.21,620.21,2016-12-22
53793,10,Spain,1165.66,507.92,507.92,2016-12-22
53794,11,Switzerland,1128.75,602.17,602.17,2016-12-22
53795,12,Wales,1120.86,610.14,610.14,2016-12-22
53796,13,England,1114.45,568.56,568.56,2016-12-22
53797,14,Croatia,1103.27,632.53,632.53,2016-12-22
53798,15,Poland,1086.72,702.26,702.26,2016-12-22
53799,16,Italy,1082.6,597.8,597.8,2016-12-22
53800,17,Costa Rica,1040.55,631.38,631.38,2016-12-22
53801,18,Mexico,1012.0,575.48,575.48,2016-12-22
53802,19,Peru,965.37,638.51,638.51,2016-12-22
53803,20,Ecuador,890.45,402.61,402.61,2016-12-22
53804,21,Iceland,889.28,490.08,490.08,2016-12-22
53805,22,Netherlands,887.14,362.21,362.21,2016-12-22
53806,23,Republic of Ireland,857.64,447.2,447.2,2016-12-22
53807,24,Turkey,850.58,363.41,363.41,2016-12-22
53808,25,Slovakia,837.07,387.16,387.16,2016-12-22
53809,26,Hungary,826.32,366.73,366.73,2016-12-22
53810,27,Bosnia and Herzegovina,825.47,367.05,367.05,2016-12-22
53811,28,USA,822.0,422.15,422.15,2016-12-22
53812,29,IR Iran,814.49,468.14,468.14,2016-12-22
53813,30,Ukraine,803.65,363.62,363.62,2016-12-22
53814,31,Austria,773.49,205.01,205.01,2016-12-22
53815,32,Northern Ireland,767.31,336.98,336.98,2016-12-22
53816,33,Senegal,754.74,401.78,401.78,2016-12-22
53817,34,CÃ´te d'Ivoire,746.44,285.14,285.14,2016-12-22
53818,35,Tunisia,737.54,371.57,371.57,2016-12-22
53819,36,Egypt,718.83,421.05,421.05,2016-12-22
53820,37,Korea Republic,699.47,401.08,401.08,2016-12-22
53821,38,Algeria,692.49,273.77,273.77,2016-12-22
53822,39,Romania,689.55,191.18,191.18,2016-12-22
53823,40,Paraguay,683.6,367.18,367.18,2016-12-22
53824,41,Sweden,675.35,302.57,302.57,2016-12-22
53825,42,Greece,674.34,340.62,340.62,2016-12-22
53826,43,Czech Republic,671.35,234.14,234.14,2016-12-22
53827,44,Serbia,646.93,344.61,344.61,2016-12-22
53828,45,Japan,644.3,358.14,358.14,2016-12-22
53829,46,Denmark,643.11,289.97,289.97,2016-12-22
53830,47,Australia,641.49,360.57,360.57,2016-12-22
53831,48,Congo DR,638.43,330.67,330.67,2016-12-22
53832,49,Albania,617.93,239.65,239.65,2016-12-22
53833,50,Burkina Faso,617.37,408.27,408.27,2016-12-22
53834,51,Nigeria,615.68,341.39,341.39,2016-12-22
53835,51,Slovenia,615.53,314.44,314.44,2016-12-22
53836,53,Ghana,611.1,223.98,223.98,2016-12-22
53837,54,Saudi Arabia,605.09,372.94,372.94,2016-12-22
53838,55,Israel,594.72,318.04,318.04,2016-12-22
53839,56,Russia,591.98,170.61,170.61,2016-12-22
53840,57,Morocco,586.71,354.31,354.31,2016-12-22
53841,58,Panama,584.11,310.08,310.08,2016-12-22
53842,59,Venezuela,580.98,375.83,375.83,2016-12-22
53843,60,Mali,569.25,324.5,324.5,2016-12-22
53844,60,South Africa,569.12,306.25,306.25,2016-12-22
53845,62,Uzbekistan,562.91,331.29,331.29,2016-12-22
53846,63,Montenegro,549.38,368.56,368.56,2016-12-22
53847,64,United Arab Emirates,541.92,271.9,271.9,2016-12-22
53848,65,Cameroon,534.37,229.04,229.04,2016-12-22
53849,66,Benin,531.39,311.1,311.1,2016-12-22
53850,67,Scotland,524.11,196.45,196.45,2016-12-22
53851,68,Guinea-Bissau,515.46,401.63,401.63,2016-12-22
53852,69,Guinea,507.48,187.0,187.0,2016-12-22
53853,70,Congo,504.11,187.91,187.91,2016-12-22
53854,71,Bulgaria,491.98,259.88,259.88,2016-12-22
53855,72,Uganda,490.48,217.63,217.63,2016-12-22
53856,73,Haiti,489.26,289.64,289.64,2016-12-22
53857,74,Belarus,469.76,222.26,222.26,2016-12-22
53858,75,Honduras,467.42,292.44,292.44,2016-12-22
53859,75,CuraÃ§ao,466.63,364.44,364.44,2016-12-22
53860,77,Jamaica,463.27,176.22,176.22,2016-12-22
53861,78,Trinidad and Tobago,451.5,141.02,141.02,2016-12-22
53862,79,Guatemala,450.36,273.26,273.26,2016-12-22
53863,80,Cape Verde Islands,442.66,53.13,53.13,2016-12-22
53864,80,St Kitts and Nevis,442.64,301.16,301.16,2016-12-22
53865,82,China PR,426.52,222.7,222.7,2016-12-22
53866,83,Faroe Islands,422.49,229.35,229.35,2016-12-22
53867,83,Norway,421.95,143.25,143.25,2016-12-22
53868,85,Libya,417.45,216.75,216.75,2016-12-22
53869,86,Armenia,412.05,255.57,255.57,2016-12-22
53870,87,Qatar,411.0,210.6,210.6,2016-12-22
53871,88,Zambia,400.56,166.18,166.18,2016-12-22
53872,89,Kenya,394.51,225.29,225.29,2016-12-22
53873,90,Azerbaijan,386.15,237.22,237.22,2016-12-22
53874,91,Togo,385.32,199.37,199.37,2016-12-22
53875,92,Rwanda,373.15,174.83,174.83,2016-12-22
53876,93,Antigua and Barbuda,370.44,181.23,181.23,2016-12-22
53877,94,Finland,367.62,31.98,31.98,2016-12-22
53878,95,Bolivia,358.52,139.58,139.58,2016-12-22
53879,96,Sierra Leone,355.23,221.17,221.17,2016-12-22
53880,96,Syria,354.88,220.19,220.19,2016-12-22
53881,98,Kazakhstan,354.28,219.75,219.75,2016-12-22
53882,99,Namibia,346.85,216.01,216.01,2016-12-22
53883,100,Swaziland,342.91,208.85,208.85,2016-12-22
53884,101,Liberia,338.19,172.13,172.13,2016-12-22
53885,102,Zimbabwe,334.3,178.08,178.08,2016-12-22
53886,103,Malawi,329.76,163.63,163.63,2016-12-22
53887,104,Central African Republic,325.2,217.18,217.18,2016-12-22
53888,105,Jordan,323.93,109.37,109.37,2016-12-22
53889,105,Lithuania,323.87,177.27,177.27,2016-12-22
53890,107,Mozambique,319.47,160.37,160.37,2016-12-22
53891,108,Mauritania,316.8,162.47,162.47,2016-12-22
53892,109,New Zealand,310.82,229.31,229.31,2016-12-22
53893,110,Gabon,308.36,88.55,88.55,2016-12-22
53894,111,Latvia,303.61,128.58,128.58,2016-12-22
53895,112,Ethiopia,296.23,157.92,157.92,2016-12-22
53896,112,Botswana,295.52,102.85,102.85,2016-12-22
53897,114,Equatorial Guinea,292.82,73.44,73.44,2016-12-22
53898,115,Cyprus,290.27,61.88,61.88,2016-12-22
53899,116,Estonia,284.64,96.49,96.49,2016-12-22
53900,117,Canada,281.51,106.56,106.56,2016-12-22
53901,118,Georgia,280.94,155.55,155.55,2016-12-22
53902,119,Iraq,277.57,91.69,91.69,2016-12-22
53903,120,Philippines,272.68,140.06,140.06,2016-12-22
53904,121,Oman,272.08,101.58,101.58,2016-12-22
53905,122,Kyrgyz Republic,265.27,92.41,92.41,2016-12-22
53906,123,Bahrain,263.64,117.3,117.3,2016-12-22
53907,124,Nicaragua,261.86,91.12,91.12,2016-12-22
53908,125,Korea DPR,257.29,124.31,124.31,2016-12-22
53909,126,Thailand,253.82,111.48,111.48,2016-12-22
53910,127,Niger,246.22,88.46,88.46,2016-12-22
53911,128,Dominican Republic,241.65,180.29,180.29,2016-12-22
53912,129,Tajikistan,231.14,135.53,135.53,2016-12-22
53913,130,Luxembourg,229.91,104.75,104.75,2016-12-22
53914,131,Palestine,228.91,91.46,91.46,2016-12-22
53915,132,Guyana,220.78,154.82,154.82,2016-12-22
53916,133,Madagascar,219.73,76.5,76.5,2016-12-22
53917,134,Vietnam,217.75,112.48,112.48,2016-12-22
53918,135,India,216.95,151.87,151.87,2016-12-22
53919,135,Sudan,216.71,81.77,81.77,2016-12-22
53920,137,El Salvador,216.34,39.05,39.05,2016-12-22
53921,138,Burundi,212.67,85.43,85.43,2016-12-22
53922,139,Hong Kong,209.51,77.16,77.16,2016-12-22
53923,140,Comoros,204.72,142.66,142.66,2016-12-22
53924,141,Lesotho,201.69,101.24,101.24,2016-12-22
53925,142,Turkmenistan,199.99,63.75,63.75,2016-12-22
53926,143,Angola,198.64,40.68,40.68,2016-12-22
53927,144,Puerto Rico,193.84,141.9,141.9,2016-12-22
53928,145,Mauritius,191.48,132.78,132.78,2016-12-22
53929,146,Afghanistan,189.17,88.4,88.4,2016-12-22
53930,147,Lebanon,185.54,66.56,66.56,2016-12-22
53931,148,Yemen,184.14,127.5,127.5,2016-12-22
53932,148,Tahiti,183.52,170.0,170.0,2016-12-22
53933,150,Suriname,182.5,170.85,170.85,2016-12-22
53934,151,Cuba,180.02,63.75,63.75,2016-12-22
53935,152,Chad,179.39,0.0,0.0,2016-12-22
53936,153,SÃ£o TomÃ© e PrÃ­ncipe,177.22,118.58,118.58,2016-12-22
53937,154,Maldives,174.35,96.44,96.44,2016-12-22
53938,155,Barbados,163.09,63.75,63.75,2016-12-22
53939,156,Tanzania,153.61,14.28,14.28,2016-12-22
