country,freedom_score,freedom_rank
Albania,7.568140288,48
Algeria,5.135886055,155
Angola,5.640662182,142
Argentina,6.469847841,107
Armenia,7.241401801,57
Australia,8.582219227,4
Austria,8.4134742,16
Azerbaijan,6.083276739,130
Bahamas,7.397268923,50
Bahrain,6.848034997,75
Bangladesh,5.801300179,138
Barbados,7.068447232,67
Belarus,6.144514082,128
Belgium,8.153589293,27
Belize,7.145431918,64
Benin,6.738488147,90
Bhutan,6.810486407,83
Bolivia,6.718385007,92
Bosnia and Herzegovina,7.230723572,59
Botswana,7.153167226,64
Brazil,6.207988703,123
Brunei Darussalam,5.796849859,138
Bulgaria,7.782769538,41
Burkina Faso,6.752669835,88
Burundi,5.167067213,154
Cambodia,7.204224143,61
Cameroon,5.575387155,144
Canada,8.565863321,5
Cape Verde,7.333291533,53
Central Afr. Rep.,5.287816197,152
Chad,5.474770535,147
Chile,8.00801767,32
China,5.905410169,135
Colombia,6.760756637,87
Democratic Republic of the Congo,5.308628393,151
Republic of the Congo,5.898933847,136
Costa Rica,7.857714484,37
Cote d'Ivoire,6.531271024,100
Croatia,7.708087876,44
Cyprus,8.112196958,30
Czech Republic,8.294880707,21
Denmark,8.547819985,6
Dominican Republic,7.061287481,69
Ecuador,6.80527768,83
Egypt,4.807276886,156
El Salvador,7.033950991,70
Estonia,8.436850609,14
Ethiopia,5.397044971,150
Fiji,7.291102197,55
Finland,8.472183958,10
France,8.008401464,32
Gabon,5.577787611,144
"Gambia, The",6.321342351,115
Georgia,7.798267753,40
Germany,8.462595689,13
Ghana,7.236088908,57
Greece,7.203384075,61
Guatemala,7.094122991,66
Guinea,5.650600803,141
Guinea-Bissau,6.054860862,133
Guyana,6.675897936,96
Haiti,6.847221294,75
Honduras,6.723241298,92
Hong Kong,8.776839796,3
Hungary,7.739472887,42
Iceland,8.151753108,27
India,6.412935668,110
Indonesia,6.77065623,85
Iran,5.281224623,153
Iraq,4.25801381,159
Ireland,8.504564702,8
Israel,7.517458071,49
Italy,7.980223159,34
Jamaica,7.224208046,60
Japan,8.101885275,31
Jordan,6.849333258,75
Kazakhstan,6.742837772,90
Kenya,6.822768345,82
South Korea,8.148174929,27
Kuwait,6.190287237,124
Kyrgyz Republic,6.588506477,99
Laos,6.386793085,113
Latvia,8.245534042,23
Lebanon,6.70999709,95
Lesotho,6.53422198,100
Liberia,6.481700872,106
Libya,4.310282812,158
Lithuania,8.340669463,20
Luxembourg,8.428700911,15
Macedonia,7.271829012,56
Madagascar,6.512561755,103
Malawi,6.652606805,97
Malaysia,6.411489977,110
Mali,5.930464736,134
Malta,8.353998731,19
Mauritania,5.473874888,147
Mauritius,7.863732816,37
Mexico,6.848010198,75
Moldova,6.849514762,75
Mongolia,7.699156277,45
Montenegro,7.335052066,52
Morocco,6.178378256,127
Mozambique,6.079603322,130
Myanmar,5.441680434,149
Namibia,6.897457751,74
Nepal,6.720805695,92
Netherlands,8.55442118,6
New Zealand,8.887409579,1
Nicaragua,6.851247363,75
Niger,5.862260048,137
Nigeria,6.071808603,132
Norway,8.471240566,10
Oman,6.134527607,129
Pakistan,5.662296224,140
Panama,7.647620037,46
Pap. New Guinea,6.752474408,88
Paraguay,6.962299094,72
Peru,7.575393347,47
Philippines,6.918763347,73
Poland,7.811560227,39
Portugal,8.276856122,22
Qatar,6.507776488,103
Romania,8.171616249,24
Russia,6.272190833,119
Rwanda,6.973869526,71
Saudi Arabia,5.479366035,146
Senegal,6.497093885,105
Serbia,7.348971626,51
Seychelles,7.301262168,54
Sierra Leone,6.397329576,112
Singapore,8.159711817,25
Slovak Rep.,7.918249946,36
Slovenia,7.936395733,35
South Africa,7.172571807,63
Spain,8.159106882,25
Sri Lanka,6.265360917,119
Sudan,4.803023585,157
Suriname,7.074281523,67
Swaziland,6.240164329,122
Sweden,8.387375149,17
Switzerland,8.78775905,2
Syria,3.765826877,162
Taiwan,8.465697018,10
Tajikistan,6.18616229,124
Tanzania,6.523209346,102
Thailand,6.624781301,98
Timor-Leste,6.368224813,114
Togo,6.274969005,119
Trinidad and Tobago,6.825223194,81
Tunisia,6.433736122,109
Turkey,6.466232654,107
Uganda,6.769444547,85
Ukraine,6.283135204,118
United Arab Emirates,6.286675088,117
United Kingdom,8.497917936,8
United States,8.388655108,17
Uruguay,7.728070903,43
Venezuela,4.200724456,161
Vietnam,6.1940038,124
Yemen,4.25327767,160
Zambia,6.308849428,116
Zimbabwe,5.615362787,143
