,Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
0,Albania,7.568140287999999,48.0,5.6,109,4.655,49,617.93
1,Algeria,5.135886055,155.0,3.3,38,6.355,38,692.49
2,Angola,5.640662182000001,142.0,8.9,141,3.866,143,198.64
3,Argentina,6.469847841,107.0,9.1,26,6.65,1,1634.02
4,Armenia,7.241401801,57.0,5.7,121,4.36,86,412.05
5,Australia,8.582219227000001,4.0,11.7,9,7.313,47,641.49
6,Austria,8.4134742,16.0,11.4,12,7.119,31,773.49
7,Azerbaijan,6.083276739,130.0,2.6,81,5.291,90,386.15
8,Bahrain,6.848034997,75.0,5.7,42,6.218,123,263.64
9,Bangladesh,5.801300179,138.0,6.1,110,4.643,185,80.79
10,Belarus,6.144514082000001,128.0,21.4,61,5.8020000000000005,74,469.76
11,Belgium,8.153589293,27.0,15.7,18,6.9289999999999985,5,1367.77
12,Belize,7.145431918,64.0,5.9,52,5.956,163,140.82
13,Benin,6.738488147000001,90.0,15.7,153,3.484,66,531.39
14,Bhutan,6.810486407000001,83.0,11.6,84,5.1960000000000015,177,102.71
15,Bosnia and Herzegovina,7.230723572,59.0,6.4,87,5.1629999999999985,27,825.47
16,Botswana,7.153167226,64.0,11.5,137,3.974,112,295.52
17,Brazil,6.207988703,123.0,6.1,17,6.952000000000001,2,1544.05
18,Bulgaria,7.782769537999999,41.0,7.9,129,4.217,71,491.98
19,Burkina Faso,6.752669835,88.0,14.8,145,3.739,50,617.37
20,Burundi,5.167067213,154.0,15.0,157,2.905,138,212.67
21,Cambodia,7.204224142999999,61.0,5.9,140,3.907,173,118.12
22,Cameroon,5.575387155,144.0,19.5,114,4.513,65,534.37
23,Canada,8.565863321,5.0,10.4,6,7.404,117,281.51
24,Chad,5.474770535,147.0,15.5,144,3.763,152,179.39
25,Chile,8.00801767,32.0,9.7,24,6.705,4,1403.96
26,Colombia,6.760756637,87.0,7.0,31,6.481,6,1344.7
27,Costa Rica,7.857714484,37.0,7.5,14,7.0870000000000015,17,1040.55
28,Croatia,7.708087876,44.0,11.5,74,5.488,14,1103.27
29,Cyprus,8.112196958,30.0,4.5,69,5.546,115,290.27
30,Denmark,8.547819985,6.0,9.2,1,7.526,46,643.11
31,Ecuador,6.80527768,83.0,7.2,51,5.976,20,890.45
32,Egypt,4.807276886,156.0,4.4,120,4.362,36,718.83
33,El Salvador,7.033950991,70.0,13.5,46,6.068,137,216.34
34,Estonia,8.436850609,14.0,14.4,72,5.517,116,284.64
35,Ethiopia,5.3970449710000015,150.0,11.4,115,4.508,112,296.23
36,Finland,8.472183957999999,10.0,13.8,5,7.4129999999999985,94,367.62
37,France,8.008401464,32.0,12.1,32,6.478,7,1305.41
