,country,year,suicides_no,population,suicides_rate
0,Albania,1987,21,312900,6.71
1,Albania,1987,16,308000,5.19
2,Albania,1987,14,289700,4.83
3,Albania,1987,1,21800,4.59
4,Albania,1987,9,274300,3.28
5,Albania,1987,1,35600,2.81
6,Albania,1987,6,278800,2.15
7,Albania,1987,4,257200,1.56
8,Albania,1987,1,137500,0.73
9,Albania,1987,0,311000,0.0
10,Albania,1987,0,144600,0.0
11,Albania,1987,0,338200,0.0
12,Albania,1988,2,36400,5.49
13,Albania,1988,17,319200,5.33
14,Albania,1988,1,22300,4.48
15,Albania,1988,14,314100,4.46
16,Albania,1988,4,140200,2.85
17,Albania,1988,8,295600,2.71
18,Albania,1988,3,147500,2.03
19,Albania,1988,5,262400,1.91
20,Albania,1988,5,279900,1.79
21,Albania,1988,4,284500,1.41
22,Albania,1988,0,317200,0.0
23,Albania,1988,0,345000,0.0
24,Albania,1989,2,22500,8.89
25,Albania,1989,18,283600,6.35
26,Albania,1989,15,318400,4.71
27,Albania,1989,6,142100,4.22
28,Albania,1989,12,323500,3.71
29,Albania,1989,7,288600,2.43
30,Albania,1989,5,299900,1.67
31,Albania,1989,2,266300,0.75
32,Albania,1989,1,149600,0.67
33,Albania,1989,0,321900,0.0
34,Albania,1989,0,37000,0.0
35,Albania,1989,0,349700,0.0
36,Albania,1992,12,343800,3.49
37,Albania,1992,9,263700,3.41
38,Albania,1992,5,159500,3.13
39,Albania,1992,7,245500,2.85
40,Albania,1992,7,292400,2.39
41,Albania,1992,4,267400,1.5
42,Albania,1992,2,323100,0.62
43,Albania,1992,1,164900,0.61
44,Albania,1992,0,336700,0.0
45,Albania,1992,0,38700,0.0
46,Albania,1992,0,362900,0.0
47,Albania,1992,0,23900,0.0
48,Albania,1993,18,243300,7.4
49,Albania,1993,7,165000,4.24
50,Albania,1993,1,24200,4.13
51,Albania,1993,9,230100,3.91
52,Albania,1993,10,285300,3.51
53,Albania,1993,10,350300,2.85
54,Albania,1993,7,261800,2.67
55,Albania,1993,7,331200,2.11
56,Albania,1993,2,169500,1.18
57,Albania,1993,1,340300,0.29
58,Albania,1993,1,367000,0.27
59,Albania,1993,0,39300,0.0
60,Albania,1994,2,24600,8.13
61,Albania,1994,11,171400,6.42
62,Albania,1994,2,39900,5.01
63,Albania,1994,6,231400,2.59
64,Albania,1994,9,362800,2.48
65,Albania,1994,6,242200,2.48
66,Albania,1994,6,282600,2.12
67,Albania,1994,4,261100,1.53
68,Albania,1994,2,342500,0.58
69,Albania,1994,1,174600,0.57
70,Albania,1994,1,371800,0.27
71,Albania,1994,0,344400,0.0
72,Albania,1995,13,232900,5.58
73,Albania,1995,9,178000,5.06
74,Albania,1995,2,40800,4.9
75,Albania,1995,13,283500,4.59
76,Albania,1995,11,241200,4.56
77,Albania,1995,1,25100,3.98
78,Albania,1995,14,375900,3.72
79,Albania,1995,7,264000,2.65
80,Albania,1995,8,356400,2.24
81,Albania,1995,6,376500,1.59
82,Albania,1995,2,180400,1.11
83,Albania,1995,2,348700,0.57
84,Albania,1996,2,25400,7.87
85,Albania,1996,17,243600,6.98
86,Albania,1996,14,235300,5.95
87,Albania,1996,16,287700,5.56
88,Albania,1996,2,41200,4.85
89,Albania,1996,10,267900,3.73
90,Albania,1996,12,379600,3.16
91,Albania,1996,9,362000,2.49
92,Albania,1996,3,179900,1.67
93,Albania,1996,1,183100,0.55
94,Albania,1996,2,380400,0.53
95,Albania,1996,1,354100,0.28
96,Albania,1997,36,236000,15.25
97,Albania,1997,33,244400,13.5
98,Albania,1997,3,25400,11.81
99,Albania,1997,30,380800,7.88
100,Albania,1997,21,294000,7.14
101,Albania,1997,12,180300,6.66
102,Albania,1997,16,273900,5.84
103,Albania,1997,2,42100,4.75
104,Albania,1997,7,370100,1.89
105,Albania,1997,6,361800,1.66
106,Albania,1997,4,381500,1.05
107,Albania,1997,0,187000,0.0
108,Albania,1998,3,25800,11.63
109,Albania,1998,27,248800,10.85
110,Albania,1998,32,295600,10.83
111,Albania,1998,26,240400,10.82
112,Albania,1998,29,388200,7.47
113,Albania,1998,9,183800,4.9
114,Albania,1998,10,275300,3.63
115,Albania,1998,6,188200,3.19
116,Albania,1998,9,372100,2.42
117,Albania,1998,2,388400,0.51
118,Albania,1998,1,363800,0.27
119,Albania,1998,0,42300,0.0
120,Albania,1999,3,25900,11.58
121,Albania,1999,24,250600,9.58
122,Albania,1999,4,42400,9.43
123,Albania,1999,31,391100,7.93
124,Albania,1999,19,242300,7.84
125,Albania,1999,14,185200,7.56
126,Albania,1999,19,296800,6.4
127,Albania,1999,13,276500,4.7
128,Albania,1999,6,188800,3.18
