"country","suicide_rate","freedom_score","freedom_rank","happiness_rank","happiness_score","fifa_rank","total_points","cur_year_avg","cur_year_avg_weighted"
"Russia","26.5","6.272190833","119","56","5.856","56","591.98","170.61","170.61"
"Lithuania","25.7","8.340669463","20","60","5.813","105","323.87","177.27","177.27"
"Suriname","23.2","7.074281523","67","40","6.269","150","182.5","170.85","170.85"
"Ivory Coast","23","6.531271024","100","139","3.916","34","746.44","285.14","285.14"
"Kazakhstan","22.8","6.742837772","90","54","5.919","98","354.28","219.75","219.75"
"Belarus","21.4","6.144514082","128","61","5.802","74","469.76","222.26","222.26"
"South Korea","20.2","8.148174929","27","57","5.835","37","699.47","401.08","401.08"
"Uganda","20","6.769444547","85","145","3.739","72","490.48","217.63","217.63"
"Cameroon","19.5","5.575387155","144","114","4.513","65","534.37","229.04","229.04"
"Zimbabwe","19.1","5.615362787","143","131","4.193","102","334.3","178.08","178.08"
"Ukraine","18.5","6.283135204","118","123","4.324","30","803.65","363.62","363.62"
"Nigeria","17.3","6.071808603","132","103","4.875","51","615.68","341.39","341.39"
"Latvia","17.2","8.245534042","23","68","5.56","111","303.61","128.58","128.58"
"Togo","16.6","6.274969005","119","155","3.303","91","385.32","199.37","199.37"
"India","16.5","6.412935668","110","118","4.404","135","216.95","151.87","151.87"
"Uruguay","16.5","7.728070903","43","29","6.545","9","1187.31","620.21","620.21"
"Sierra Leone","16.1","6.397329576","112","111","4.635","96","355.23","221.17","221.17"
"Belgium","15.7","8.153589293","27","18","6.929","5","1367.77","600.01","600.01"
"Benin","15.7","6.738488147","90","153","3.484","66","531.39","311.1","311.1"
"Chad","15.5","5.474770535","147","144","3.763","152","179.39","0","0"
"Burundi","15","5.167067213","154","157","2.905","138","212.67","85.43","85.43"
"Burkina Faso","14.8","6.752669835","88","145","3.739","50","617.37","408.27","408.27"
"Estonia","14.4","8.436850609","14","72","5.517","116","284.64","96.49","96.49"
"Japan","14.3","8.101885275","31","53","5.921","45","644.3","358.14","358.14"
"Sri Lanka","14.2","6.265360917","119","117","4.415","195","44.14","18.89","18.89"
"Finland","13.8","8.472183958","10","5","7.413","94","367.62","31.98","31.98"
"United States","13.7","8.388655108","17","13","7.104","28","822","422.15","422.15"
"Hungary","13.6","7.739472887","42","91","5.145","26","826.32","366.73","366.73"
"El Salvador","13.5","7.033950991","70","46","6.068","137","216.34","39.05","39.05"
"Moldova","13.4","6.849514762","75","55","5.897","164","137.65","48.88","48.88"
"Liberia","13.4","6.481700872","106","150","3.622","101","338.19","172.13","172.13"
"Poland","13.4","7.811560227","39","57","5.835","15","1086.72","702.26","702.26"
"Iceland","13.3","8.151753108","27","3","7.501","21","889.28","490.08","490.08"
"Slovenia","13.3","7.936395733","35","63","5.768","51","615.53","314.44","314.44"
"Mongolia","13.3","7.699156277","45","101","4.907","198","38.3","34","34"
"Thailand","12.9","6.624781301","98","33","6.474","126","253.82","111.48","111.48"
"Bolivia","12.9","6.718385007","92","59","5.822","95","358.52","139.58","139.58"
"Trinidad and Tobago","12.9","6.825223194","81","43","6.168","78","451.5","141.02","141.02"
"South Africa","12.8","7.172571807","63","116","4.459","60","569.12","306.25","306.25"
"Haiti","12.2","6.847221294","75","136","4.028","73","489.26","289.64","289.64"
"France","12.1","8.008401464","32","32","6.478","7","1305.41","862.9","862.9"
"Nicaragua","11.9","6.851247363","75","48","5.992","124","261.86","91.12","91.12"
"Senegal","11.8","6.497093885","105","128","4.219","33","754.74","401.78","401.78"
"Sweden","11.7","8.387375149","17","10","7.291","41","675.35","302.57","302.57"
"Australia","11.7","8.582219227","4","9","7.313","47","641.49","360.57","360.57"
"Bhutan","11.6","6.810486407","83","84","5.196","177","102.71","70.83","70.83"
"New Zealand","11.6","8.887409579","1","8","7.334","109","310.82","229.31","229.31"
"Botswana","11.5","7.153167226","64","137","3.974","112","295.52","102.85","102.85"
"Croatia","11.5","7.708087876","44","74","5.488","14","1103.27","632.53","632.53"
"Namibia","11.5","6.897457751","74","113","4.574","99","346.85","216.01","216.01"
"Austria","11.4","8.4134742","16","12","7.119","31","773.49","205.01","205.01"
"Ethiopia","11.4","5.397044971","150","115","4.508","112","296.23","157.92","157.92"
"Switzerland","11.3","8.78775905","2","2","7.509","11","1128.75","602.17","602.17"
"Zambia","11.3","6.308849428","116","106","4.795","88","400.56","166.18","166.18"
"Rwanda","11","6.973869526","71","152","3.515","92","373.15","174.83","174.83"
"Ireland","10.9","8.504564702","8","19","6.907","23","857.64","447.2","447.2"
"Serbia","10.9","7.348971626","51","86","5.177","44","646.93","344.61","344.61"
"Czech Republic","10.5","8.294880707","21","27","6.596","43","671.35","234.14","234.14"
"Dominican Republic","10.5","7.061287481","69","89","5.155","128","241.65","180.29","180.29"
"Guinea","10.5","5.650600803","141","151","3.607","69","507.48","187","187"
