Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
Afghanistan,,,6.4,154.0,3.36,146.0,189.17
American Samoa,,,,,,191.0,63.75
Andorra,,,,,,203.0,11.68
Anguilla,,,,,,205.0,0.0
Antigua and Barbuda,,,0.5,,,93.0,370.44
Aruba,,,,,,160.0,146.94
Bahamas,7.397268922999999,50.0,1.6,,,205.0,0.0
Barbados,7.0684472320000005,67.0,0.4,,,155.0,163.09
Bermuda,,,,,,187.0,76.96
Bolivia,6.718385007,92.0,12.9,59.0,5.822,95.0,358.52
British Virgin Islands,,,,,,204.0,10.62
Brunei Darussalam,5.796849859,138.0,4.5,,,190.0,74.38
Cape Verde,7.333291533,53.0,15.1,,,80.0,442.66
Cayman Islands,,,,,,200.0,21.25
Central African Republic,5.287816197,152.0,11.6,,,104.0,325.2
China,5.905410169,135.0,8.0,83.0,5.245,82.0,426.52
Comoros,,,11.1,138.0,3.956,140.0,204.72
Congo DR,5.308628393,151.0,9.7,125.0,4.272,48.0,638.43
Cook Islands,,,,,,191.0,63.75
Cuba,,,10.1,,,151.0,180.02
CuraÃ§ao,,,,,,75.0,466.63
Czech Republic,8.294880707,21.0,10.5,27.0,6.596,43.0,671.35
Côte d'Ivoire,,,23.0,,,,
Djibouti,,,8.5,,,205.0,0.0
Dominica,,,,,,174.0,112.86
Dominican Republic,7.061287481,69.0,10.5,89.0,5.155,128.0,241.65
Equatorial Guinea,,,22.0,,,114.0,292.82
Eritrea,,,13.8,,,205.0,0.0
Eswatini,,,16.7,,,,
FYR Macedonia,,,,,,162.0,142.19
Faroe Islands,,,,,,83.0,422.49
Fiji,7.291102197000001,55.0,5.5,,,179.0,102.0
Gambia,6.321342351,115.0,10.0,,,175.0,106.29
Gibraltar,,,,,,205.0,0.0
Grenada,,,1.7,,,158.0,149.58
Guam,,,,,,182.0,88.99
Guinea-Bissau,6.054860862000001,133.0,7.4,,,68.0,515.46
Guyana,6.675897936,96.0,30.2,,,132.0,220.78
Hong Kong,8.776839796,3.0,,75.0,5.457999999999998,139.0,209.51
Iran,5.281224623,153.0,4.0,105.0,4.813,29.0,814.49
Ireland,8.504564702,8.0,10.9,19.0,6.907,23.0,857.64
Ivory Coast,6.531271024,100.0,,139.0,3.916,34.0,746.44
Kiribati,,,15.2,,,,
Kosovo,,,,77.0,5.401,165.0,134.74
Kyrgyzstan,6.588506477,99.0,9.1,85.0,5.185,122.0,265.27
Laos,6.386793085,113.0,9.3,102.0,4.876,167.0,133.94
Lesotho,6.53422198,100.0,28.9,,,141.0,201.69
Liechtenstein,,,,,,189.0,75.27
Macau,,,,,,184.0,81.86
Macedonia,7.271829012,56.0,,95.0,5.121,,
Maldives,,,2.7,,,154.0,174.35
Micronesia (Federated States of),,,11.3,,,,
Moldova,6.849514762,75.0,,55.0,5.897,164.0,137.65
Montserrat,,,,,,199.0,30.42
Mozambique,6.0796033220000005,130.0,8.4,,,107.0,319.47
New Caledonia,,,,,,168.0,123.0
North Cyprus,,,,62.0,5.771,,
North Korea,,,10.6,,,125.0,257.29
Northern Ireland,,,,,,32.0,767.31
Oman,6.134527607000001,129.0,3.5,,,121.0,272.08
Palestine,,,,,,131.0,228.91
Palestinian Territories,,,,108.0,4.754,,
Papua New Guinea,6.752474407999999,88.0,7.0,,,170.0,121.76
Puerto Rico,,,,15.0,7.039,144.0,193.84
Republic of Moldova,,,13.4,,,,
Republic of North Macedonia,,,6.2,,,,
Republic of the Congo,5.898933847,136.0,9.3,127.0,4.2360000000000015,70.0,504.11
Russia,6.272190833,119.0,26.5,56.0,5.856,56.0,591.98
Saint Lucia,,,7.3,,,,
Saint Vincent and the Grenadines,,,2.4,,,,
Samoa,,,5.4,,,191.0,63.75
San Marino,,,,,,202.0,16.63
Sao Tome and Principe,,,3.1,,,,
Scotland,,,,,,67.0,524.11
