fifa_rank,country,total_points,cur_year_avg,cur_year_avg_weighted,rank_date
1,Argentina,1634.02,903.24,903.24,2016-12-22
2,Brazil,1544.05,879.22,879.22,2016-12-22
3,Germany,1432.54,752.68,752.68,2016-12-22
4,Chile,1403.96,739.73,739.73,2016-12-22
5,Belgium,1367.77,600.01,600.01,2016-12-22
6,Colombia,1344.7,746.52,746.52,2016-12-22
7,France,1305.41,862.9,862.9,2016-12-22
8,Portugal,1229.12,617.85,617.85,2016-12-22
9,Uruguay,1187.31,620.21,620.21,2016-12-22
10,Spain,1165.66,507.92,507.92,2016-12-22
11,Switzerland,1128.75,602.17,602.17,2016-12-22
12,Wales,1120.86,610.14,610.14,2016-12-22
13,England,1114.45,568.56,568.56,2016-12-22
14,Croatia,1103.27,632.53,632.53,2016-12-22
15,Poland,1086.72,702.26,702.26,2016-12-22
16,Italy,1082.6,597.8,597.8,2016-12-22
17,Costa Rica,1040.55,631.38,631.38,2016-12-22
18,Mexico,1012,575.48,575.48,2016-12-22
19,Peru,965.37,638.51,638.51,2016-12-22
20,Ecuador,890.45,402.61,402.61,2016-12-22
21,Iceland,889.28,490.08,490.08,2016-12-22
22,Netherlands,887.14,362.21,362.21,2016-12-22
23,Ireland,857.64,447.2,447.2,2016-12-22
24,Turkey,850.58,363.41,363.41,2016-12-22
25,Slovakia,837.07,387.16,387.16,2016-12-22
26,Hungary,826.32,366.73,366.73,2016-12-22
27,Bosnia and Herzegovina,825.47,367.05,367.05,2016-12-22
28,United States,822,422.15,422.15,2016-12-22
29,Iran,814.49,468.14,468.14,2016-12-22
30,Ukraine,803.65,363.62,363.62,2016-12-22
31,Austria,773.49,205.01,205.01,2016-12-22
32,Northern Ireland,767.31,336.98,336.98,2016-12-22
33,Senegal,754.74,401.78,401.78,2016-12-22
34,Ivory Coast,746.44,285.14,285.14,2016-12-22
35,Tunisia,737.54,371.57,371.57,2016-12-22
36,Egypt,718.83,421.05,421.05,2016-12-22
37,South Korea,699.47,401.08,401.08,2016-12-22
38,Algeria,692.49,273.77,273.77,2016-12-22
39,Romania,689.55,191.18,191.18,2016-12-22
40,Paraguay,683.6,367.18,367.18,2016-12-22
41,Sweden,675.35,302.57,302.57,2016-12-22
42,Greece,674.34,340.62,340.62,2016-12-22
43,Czech Republic,671.35,234.14,234.14,2016-12-22
44,Serbia,646.93,344.61,344.61,2016-12-22
45,Japan,644.3,358.14,358.14,2016-12-22
46,Denmark,643.11,289.97,289.97,2016-12-22
47,Australia,641.49,360.57,360.57,2016-12-22
48,Democratic Republic of the Congo,638.43,330.67,330.67,2016-12-22
49,Albania,617.93,239.65,239.65,2016-12-22
50,Burkina Faso,617.37,408.27,408.27,2016-12-22
51,Nigeria,615.68,341.39,341.39,2016-12-22
51,Slovenia,615.53,314.44,314.44,2016-12-22
53,Ghana,611.1,223.98,223.98,2016-12-22
54,Saudi Arabia,605.09,372.94,372.94,2016-12-22
55,Israel,594.72,318.04,318.04,2016-12-22
56,Russia,591.98,170.61,170.61,2016-12-22
57,Morocco,586.71,354.31,354.31,2016-12-22
58,Panama,584.11,310.08,310.08,2016-12-22
59,Venezuela,580.98,375.83,375.83,2016-12-22
60,Mali,569.25,324.5,324.5,2016-12-22
60,South Africa,569.12,306.25,306.25,2016-12-22
62,Uzbekistan,562.91,331.29,331.29,2016-12-22
63,Montenegro,549.38,368.56,368.56,2016-12-22
64,United Arab Emirates,541.92,271.9,271.9,2016-12-22
65,Cameroon,534.37,229.04,229.04,2016-12-22
66,Benin,531.39,311.1,311.1,2016-12-22
67,Scotland,524.11,196.45,196.45,2016-12-22
68,Guinea-Bissau,515.46,401.63,401.63,2016-12-22
69,Guinea,507.48,187,187,2016-12-22
70,Republic of the Congo,504.11,187.91,187.91,2016-12-22
71,Bulgaria,491.98,259.88,259.88,2016-12-22
72,Uganda,490.48,217.63,217.63,2016-12-22
73,Haiti,489.26,289.64,289.64,2016-12-22
74,Belarus,469.76,222.26,222.26,2016-12-22
75,Honduras,467.42,292.44,292.44,2016-12-22
75,CuraÃ§ao,466.63,364.44,364.44,2016-12-22
77,Jamaica,463.27,176.22,176.22,2016-12-22
78,Trinidad and Tobago,451.5,141.02,141.02,2016-12-22
79,Guatemala,450.36,273.26,273.26,2016-12-22
80,Cape Verde,442.66,53.13,53.13,2016-12-22
80,St Kitts and Nevis,442.64,301.16,301.16,2016-12-22
82,China,426.52,222.7,222.7,2016-12-22
83,Faroe Islands,422.49,229.35,229.35,2016-12-22
83,Norway,421.95,143.25,143.25,2016-12-22
85,Libya,417.45,216.75,216.75,2016-12-22
86,Armenia,412.05,255.57,255.57,2016-12-22
87,Qatar,411,210.6,210.6,2016-12-22
88,Zambia,400.56,166.18,166.18,2016-12-22
89,Kenya,394.51,225.29,225.29,2016-12-22
90,Azerbaijan,386.15,237.22,237.22,2016-12-22
91,Togo,385.32,199.37,199.37,2016-12-22
92,Rwanda,373.15,174.83,174.83,2016-12-22
93,Antigua and Barbuda,370.44,181.23,181.23,2016-12-22
94,Finland,367.62,31.98,31.98,2016-12-22
95,Bolivia,358.52,139.58,139.58,2016-12-22
96,Sierra Leone,355.23,221.17,221.17,2016-12-22
96,Syria,354.88,220.19,220.19,2016-12-22
98,Kazakhstan,354.28,219.75,219.75,2016-12-22
99,Namibia,346.85,216.01,216.01,2016-12-22
100,Swaziland,342.91,208.85,208.85,2016-12-22
101,Liberia,338.19,172.13,172.13,2016-12-22
102,Zimbabwe,334.3,178.08,178.08,2016-12-22
103,Malawi,329.76,163.63,163.63,2016-12-22
104,Central African Republic,325.2,217.18,217.18,2016-12-22
105,Jordan,323.93,109.37,109.37,2016-12-22
105,Lithuania,323.87,177.27,177.27,2016-12-22
107,Mozambique,319.47,160.37,160.37,2016-12-22
108,Mauritania,316.8,162.47,162.47,2016-12-22
109,New Zealand,310.82,229.31,229.31,2016-12-22
110,Gabon,308.36,88.55,88.55,2016-12-22
111,Latvia,303.61,128.58,128.58,2016-12-22
112,Ethiopia,296.23,157.92,157.92,2016-12-22
112,Botswana,295.52,102.85,102.85,2016-12-22
114,Equatorial Guinea,292.82,73.44,73.44,2016-12-22
115,Cyprus,290.27,61.88,61.88,2016-12-22
116,Estonia,284.64,96.49,96.49,2016-12-22
117,Canada,281.51,106.56,106.56,2016-12-22
118,Georgia,280.94,155.55,155.55,2016-12-22
119,Iraq,277.57,91.69,91.69,2016-12-22
120,Philippines,272.68,140.06,140.06,2016-12-22
121,Oman,272.08,101.58,101.58,2016-12-22
122,Kyrgyzstan,265.27,92.41,92.41,2016-12-22
123,Bahrain,263.64,117.3,117.3,2016-12-22
124,Nicaragua,261.86,91.12,91.12,2016-12-22
125,North Korea,257.29,124.31,124.31,2016-12-22
126,Thailand,253.82,111.48,111.48,2016-12-22
127,Niger,246.22,88.46,88.46,2016-12-22
128,Dominican Republic,241.65,180.29,180.29,2016-12-22
129,Tajikistan,231.14,135.53,135.53,2016-12-22
130,Luxembourg,229.91,104.75,104.75,2016-12-22
131,Palestine,228.91,91.46,91.46,2016-12-22
132,Guyana,220.78,154.82,154.82,2016-12-22
133,Madagascar,219.73,76.5,76.5,2016-12-22
134,Vietnam,217.75,112.48,112.48,2016-12-22
135,India,216.95,151.87,151.87,2016-12-22
135,Sudan,216.71,81.77,81.77,2016-12-22
137,El Salvador,216.34,39.05,39.05,2016-12-22
138,Burundi,212.67,85.43,85.43,2016-12-22
139,Hong Kong,209.51,77.16,77.16,2016-12-22
140,Comoros,204.72,142.66,142.66,2016-12-22
141,Lesotho,201.69,101.24,101.24,2016-12-22
142,Turkmenistan,199.99,63.75,63.75,2016-12-22
143,Angola,198.64,40.68,40.68,2016-12-22
144,Puerto Rico,193.84,141.9,141.9,2016-12-22
145,Mauritius,191.48,132.78,132.78,2016-12-22
146,Afghanistan,189.17,88.4,88.4,2016-12-22
147,Lebanon,185.54,66.56,66.56,2016-12-22
148,Yemen,184.14,127.5,127.5,2016-12-22
148,Tahiti,183.52,170,170,2016-12-22
150,Suriname,182.5,170.85,170.85,2016-12-22
151,Cuba,180.02,63.75,63.75,2016-12-22
152,Chad,179.39,0,0,2016-12-22
153,SÃ£o TomÃ© e PrÃ­ncipe,177.22,118.58,118.58,2016-12-22
154,Maldives,174.35,96.44,96.44,2016-12-22
155,Barbados,163.09,63.75,63.75,2016-12-22
156,Tanzania,153.61,14.28,14.28,2016-12-22
157,Chinese Taipei,153.11,112.63,112.63,2016-12-22
158,Grenada,149.58,85,85,2016-12-22
159,Myanmar,148.23,50.19,50.19,2016-12-22
160,Aruba,146.94,0,0,2016-12-22
161,Malaysia,143.4,78.99,78.99,2016-12-22
162,Macedonia,142.19,24.87,24.87,2016-12-22
163,Belize,140.82,0,0,2016-12-22
164,Moldova,137.65,48.88,48.88,2016-12-22
165,Kosovo,134.74,134.74,134.74,2016-12-22
165,Singapore,134.58,37.66,37.66,2016-12-22
167,Laos,133.94,86.7,86.7,2016-12-22
168,New Caledonia,123,107.19,107.19,2016-12-22
168,South Sudan,122.66,0,0,2016-12-22
170,Papua New Guinea,121.76,121.76,121.76,2016-12-22
171,Kuwait,119.77,0,0,2016-12-22
171,Indonesia,119.77,76.42,76.42,2016-12-22
173,Cambodia,118.12,74.38,74.38,2016-12-22
174,Dominica,112.86,63.75,63.75,2016-12-22
175,Gambia,106.29,39.95,39.95,2016-12-22
175,Vanuatu,106.25,89.25,89.25,2016-12-22
177,Saint Lucia,103.16,0,0,2016-12-22
177,Bhutan,102.71,70.83,70.83,2016-12-22
179,Fiji,102,72.25,72.25,2016-12-22
179,Saint Vincent and the Grenadines,101.65,0,0,2016-12-22
181,Nepal,96.49,72.25,72.25,2016-12-22
182,Guam,88.99,0,0,2016-12-22
183,Malta,85.13,16.46,16.46,2016-12-22
184,Macau,81.86,58.44,58.44,2016-12-22
185,Bangladesh,80.79,33.65,33.65,2016-12-22
186,Seychelles,77.67,45.54,45.54,2016-12-22
187,Bermuda,76.96,0,0,2016-12-22
187,Solomon Islands,76.5,76.5,76.5,2016-12-22
189,Liechtenstein,75.27,0,0,2016-12-22
190,Brunei Darussalam,74.38,42.5,42.5,2016-12-22
191,Timor-Leste,64,3.86,3.86,2016-12-22
191,American Samoa,63.75,0,0,2016-12-22
191,Cook Islands,63.75,0,0,2016-12-22
191,Samoa,63.75,0,0,2016-12-22
195,Sri Lanka,44.14,18.89,18.89,2016-12-22
195,US Virgin Islands,43.99,0,0,2016-12-22
197,Pakistan,39.64,0,0,2016-12-22
198,Mongolia,38.3,34,34,2016-12-22
199,Montserrat,30.42,0,0,2016-12-22
200,Cayman Islands,21.25,0,0,2016-12-22
201,Turks and Caicos Islands,19.8,0,0,2016-12-22
202,San Marino,16.63,0,0,2016-12-22
203,Andorra,11.68,9.48,9.48,2016-12-22
204,British Virgin Islands,10.62,0,0,2016-12-22
205,Anguilla,0,0,0,2016-12-22
205,Bahamas,0,0,0,2016-12-22
205,Djibouti,0,0,0,2016-12-22
205,Eritrea,0,0,0,2016-12-22
205,Gibraltar,0,0,0,2016-12-22
205,Somalia,0,0,0,2016-12-22
205,Tonga,0,0,0,2016-12-22
